label,count
GH15506,1
domain,9
Dere_GG14983,1
family,1
Dyak_GE20428,1
pleckstrin,3
PTSG_10427,1
domain-containing,5
BRAFLDRAFT_67458,1
Dana_GF23861,1
DAPPUDRAFT_250988,1
protein,48
CAPTEDRAFT_218934,1
osg-1,1
GM13777,1
homology,1
member,1
containing,8
LD45290p,1
C.,1
Putative,1
RhoGEF,11
R02F2.2-like,1
NA,44
isoform,19
Uncharacterized,1
CBG05214,1
4,2
guanine,41
1,2
3,2
2,1
GEF,5
Rho,14
Dvir_GJ24709,1
X2,3
X3,2
X1,6
Phosphatidylinositol,1
X7,1
X4,1
R02F2.2,1
ARHGEF10,2
a,1
product,3
Full=Rho,1
putative,1
exchange,41
RecName,1
X5,1
factor,41
DDB_G0282073,1
G,1
Dpse_GA21202,1
tag-52,1
b,1
GL21162,1
rho,26
GM15343,1
KGM_05657,1
unnamed,3
nucleotide,41
Dsimw501_GD13075,1
Arhgef10,1
10,33
CBR-TAG-52,1
mKIAA0294,1
GL12238,1
17,1
uncharacterized,13
19,1
briggsae,1
Dmel_CG43102,5
CAOG_04520,1
Dvir_GJ12526,1
FYVE,1
predicted,1
2-like,1
unknown,1
phosphatidylinositol,1
Protein,2
CRE-TAG-52,1
CRE_04756,1
